cell_type,gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Fibroblast,CFD,90.78341,0.24140462,0.0,0.0,0.9451591062965471,0.9766626665824544
Fibroblast,SERPING1,66.73184,0.17125481,0.0,0.0,0.9790867373805763,0.9781153287437631
Fibroblast,GSN,64.576836,0.18676347,0.0,0.0,0.9767546829158203,0.980294321985726
Fibroblast,C1S,63.47586,0.17049932,0.0,0.0,0.9778078688031294,0.9759994947262047
Fibroblast,C1R,59.008514,0.17635393,0.0,0.0,0.9641540660498007,0.9759994947262047
Fibroblast,DCN,55.17731,0.21336696,0.0,0.0,0.9910103061761829,0.9759994947262047
Fibroblast,COL6A2,54.176422,0.1684723,0.0,0.0,0.9675769201835552,0.9761258131750142
Fibroblast,MGST1,53.714943,0.18830377,0.0,0.0,0.9289475663883247,0.9832943851449504
Fibroblast,TIMP3,53.664295,0.18983546,0.0,0.0,0.9374858948318664,0.977325838438704
Fibroblast,S100A11,53.20808,0.16329023,0.0,0.0,0.9542992552471226,0.9811153919029875
Fibroblast,S100A10,52.033672,0.18274698,0.0,0.0,0.9401188595501392,0.9782100675803701
Fibroblast,ANXA2,51.65564,0.1803971,0.0,0.0,0.9536974347400887,0.9771679403776922
Fibroblast,SERPINF1,48.667126,0.1713982,0.0,0.0,0.965470548408937,0.9767889850312638
Fibroblast,LGALS1,47.643246,0.16929345,0.0,0.0,0.9578349507259459,0.9787469209878102
Fibroblast,CST3,46.98989,0.169967,0.0,0.0,0.9863838110283608,0.982568054064296
Fibroblast,S100A13,46.425686,0.17748456,0.0,0.0,0.9304897314375987,0.9765047685214425
Fibroblast,ATP6V0E1,46.321083,0.16276552,0.0,0.0,0.9016775746633566,0.990589275563696
Fibroblast,TIMP2,45.839424,0.18551794,0.0,0.0,0.918378093733544,0.9788416598244174
Fibroblast,FSTL1,43.84378,0.191375,0.0,0.0,0.925825622508087,0.9761258131750142
Fibroblast,SELENOM,43.571133,0.16411904,0.0,0.0,0.9389152185360716,0.9788100802122149
Fibroblast,GPX3,42.91221,0.1947897,0.0,0.0,0.9482058226134056,0.9759994947262047
Fibroblast,DSTN,42.841908,0.18377653,0.0,0.0,0.9230045888813662,0.9840207162256047
Fibroblast,CEBPD,42.750755,0.17980269,0.0,0.0,0.9565936959301888,0.9777363733973347
Fibroblast,CD63,42.650345,0.16145702,0.0,0.0,0.9778830963665087,0.9839575570012
Fibroblast,LRP1,42.472992,0.16958606,0.0,0.0,0.9416234108177236,0.9761573927872166
Fibroblast,COL6A1,40.819103,0.17041905,0.0,0.0,0.9503498081697134,0.9760626539506095
Fibroblast,CALD1,40.386093,0.1576734,0.0,0.0,0.9717520499511021,0.9760310743384071
Fibroblast,PMP22,40.243572,0.18520913,0.0,0.0,0.9161588806138569,0.9764416092970378
Fibroblast,LAPTM4A,39.74484,0.15429412,0.0,0.0,0.9520424283457459,0.9864523463651866
Fibroblast,NNMT,39.423332,0.19057995,0.0,0.0,0.9300383660573234,0.9764100296848355
Fibroblast,IFITM3,37.744442,0.17003313,0.0,0.0,0.9654329346272474,0.9825048948398913
Fibroblast,MMP2,37.289703,0.19156294,2.410128645971599e-304,3.135734689310872e-304,0.9202587828180245,0.9763152908482284
